year,A61B,G06T,G06Q,G01N,G16H,G06F,G06N,G02B,C12Q,G03G
2004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2010,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014,4,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,7,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016,13,3.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0
2017,5,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
